symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
DREDGECORP,DREDGING CORP OF INDIA,NSE,DREDGECORP.NS,NSE:DREDGECORP,NSE_EQ|INE506A01018,,,100.0,1
DRREDDY,DR. REDDY S LABORATORIES,NSE,DRREDDY.NS,NSE:DRREDDY,NSE_EQ|INE089A01031,,,100.0,1
DSFCL,DCM SHRIRAM FINE CHEM LTD,NSE,DSFCL.NS,NSE:DSFCL,NSE_EQ|INE0OFM01015,,,100.0,1
DSSL,DYNACONS SYS & SOLN LTD,NSE,DSSL.NS,NSE:DSSL,NSE_EQ|INE417B01040,,,100.0,1
DTIL,DHUNSERI TEA & IND. LTD.,NSE,DTIL.NS,NSE:DTIL,NSE_EQ|INE341R01014,,,100.0,1
DUCON,DUCON INFRATECHNOLOGIES L,NSE,DUCON.NS,NSE:DUCON,NSE_EQ|INE741L01018,,,100.0,1
DVL,DHUNSERI VENTURES LIMITED,NSE,DVL.NS,NSE:DVL,NSE_EQ|INE477B01010,,,100.0,1
DWARKESH,DWARIKESH SUGAR IND LTD,NSE,DWARKESH.NS,NSE:DWARKESH,NSE_EQ|INE366A01041,,,100.0,1
DYCL,DYNAMIC CABLES LIMITED,NSE,DYCL.NS,NSE:DYCL,NSE_EQ|INE600Y01019,,,100.0,1
DYNAMATECH,DYNAMATIC TECHNOLOGIES,NSE,DYNAMATECH.NS,NSE:DYNAMATECH,NSE_EQ|INE221B01012,,,100.0,1
DYNPRO,DYNEMIC PRODUCTS LIMITED,NSE,DYNPRO.NS,NSE:DYNPRO,NSE_EQ|INE256H01015,,,100.0,1
E2E,E2E NETWORKS LIMITED,NSE,E2E.NS,NSE:E2E,NSE_EQ|INE255Z01019,,,100.0,1
EASEMYTRIP,EASY TRIP PLANNERS LTD,NSE,EASEMYTRIP.NS,NSE:EASEMYTRIP,NSE_EQ|INE07O001026,,,100.0,1
EASTSILK,EASTERN SILK INDUSTRIES L,NSE,EASTSILK.NS,NSE:EASTSILK,NSE_EQ|INE962C01035,,,100.0,1
EBANKNIFTY,EDELAMC - EBANKNIFTY,NSE,EBANKNIFTY.NS,NSE:EBANKNIFTY,NSE_EQ|INF754K01TE4,,,100.0,1
EBBETF0430,EDELAMC - EBBETF0430,NSE,EBBETF0430.NS,NSE:EBBETF0430,NSE_EQ|INF754K01KO2,,,100.0,1
EBBETF0431,EDELAMC - EBBETF0431,NSE,EBBETF0431.NS,NSE:EBBETF0431,NSE_EQ|INF754K01LE1,,,100.0,1
EBBETF0433,EDELAMC - EBBETF0433,NSE,EBBETF0433.NS,NSE:EBBETF0433,NSE_EQ|INF754K01QX0,,,100.0,1
EBGNG,GNG ELECTRONICS LIMITED,NSE,EBGNG.NS,NSE:EBGNG,NSE_EQ|INE18JU01028,,,100.0,1
ECAPINSURE,EDELAMC - ECAPINSURE,NSE,ECAPINSURE.NS,NSE:ECAPINSURE,NSE_EQ|INF754K01TX4,,,100.0,1
ECLERX,ECLERX SERVICES LTD,NSE,ECLERX.NS,NSE:ECLERX,NSE_EQ|INE738I01010,,,100.0,1
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L,NSE,ECOSMOBLTY.NS,NSE:ECOSMOBLTY,NSE_EQ|INE06HJ01020,,,100.0,1
EDELWEISS,EDELWEISS FIN SERV LTD,NSE,EDELWEISS.NS,NSE:EDELWEISS,NSE_EQ|INE532F01054,,,100.0,1
EFCIL,EFC (I) LIMITED,NSE,EFCIL.NS,NSE:EFCIL,NSE_EQ|INE886D01026,,,100.0,1
EGOLD,EDELAMC - EGOLD,NSE,EGOLD.NS,NSE:EGOLD,NSE_EQ|INF754K01SE6,,,100.0,1
EICHERMOT,EICHER MOTORS LTD,NSE,EICHERMOT.NS,NSE:EICHERMOT,NSE_EQ|INE066A01021,,,100.0,1
EIDPARRY,EID PARRY INDIA LTD,NSE,EIDPARRY.NS,NSE:EIDPARRY,NSE_EQ|INE126A01031,,,100.0,1
EIEL,ENVIRO INFRA ENGINEERS L,NSE,EIEL.NS,NSE:EIEL,NSE_EQ|INE0LLY01014,,,100.0,1
EIFFL,EURO (I) FRESH FOODS LTD,NSE,EIFFL.NS,NSE:EIFFL,NSE_EQ|INE546V01010,,,100.0,1
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,NSE,EIHAHOTELS.NS,NSE:EIHAHOTELS,NSE_EQ|INE276C01014,,,100.0,1
EIHOTEL,EIH LIMITED,NSE,EIHOTEL.NS,NSE:EIHOTEL,NSE_EQ|INE230A01023,,,100.0,1
EIMCOELECO,EIMCO ELECON (INDIA) LTD,NSE,EIMCOELECO.NS,NSE:EIMCOELECO,NSE_EQ|INE158B01016,,,100.0,1
EKC,EVEREST KANTO CYLINDERLTD,NSE,EKC.NS,NSE:EKC,NSE_EQ|INE184H01027,,,100.0,1
ELANTAS,ELANTAS BECK INDIA LTD.,NSE,ELANTAS.NS,NSE:ELANTAS,NSE_EQ|INE280B01018,,,100.0,1
ELCIDIN,ELCID INVESTMENTS LTD.,NSE,ELCIDIN.NS,NSE:ELCIDIN,NSE_EQ|INE927X01018,,,100.0,1
ELDEHSG,ELDECO HSG & IND LTD.,NSE,ELDEHSG.NS,NSE:ELDEHSG,NSE_EQ|INE668G01021,,,100.0,1
ELECON,ELECON ENG. CO. LTD,NSE,ELECON.NS,NSE:ELECON,NSE_EQ|INE205B01031,,,100.0,1
ELECTCAST,ELECTROSTEEL CASTINGS LTD,NSE,ELECTCAST.NS,NSE:ELECTCAST,NSE_EQ|INE086A01029,,,100.0,1
ELECTHERM,ELECTROTHERM (I) LTD.,NSE,ELECTHERM.NS,NSE:ELECTHERM,NSE_EQ|INE822G01016,,,100.0,1
ELGIEQUIP,ELGI EQUIPMENTS LTD,NSE,ELGIEQUIP.NS,NSE:ELGIEQUIP,NSE_EQ|INE285A01027,,,100.0,1
ELGIRUBCO,ELGI RUBBER CO. LTD,NSE,ELGIRUBCO.NS,NSE:ELGIRUBCO,NSE_EQ|INE819L01012,,,100.0,1
ELIN,ELIN ELECTRONICS LIMITED,NSE,ELIN.NS,NSE:ELIN,NSE_EQ|INE050401020,,,100.0,1
ELIQUID,EDELAMC - ELIQUID,NSE,ELIQUID.NS,NSE:ELIQUID,NSE_EQ|INF754K01VW2,,,100.0,1
ELITECON,ELITECON INTERNATIONAL L,NSE,ELITECON.NS,NSE:ELITECON,NSE_EQ|INE669R01026,,,100.0,1
ELLEN,ELLENBARRIE INDUS GASES L,NSE,ELLEN.NS,NSE:ELLEN,NSE_EQ|INE236E01022,,,100.0,1
ELM250,EDELAMC - ELM250,NSE,ELM250.NS,NSE:ELM250,NSE_EQ|INF754K01VV4,,,100.0,1
ELPROINTL,ELPRO INTERNATIONAL LTD,NSE,ELPROINTL.NS,NSE:ELPROINTL,NSE_EQ|INE579B01039,,,100.0,1
EMAMILTD,EMAMI LIMITED,NSE,EMAMILTD.NS,NSE:EMAMILTD,NSE_EQ|INE548C01032,,,100.0,1
EMAMIPAP,EMAMI PAPER MILLS LIMITED,NSE,EMAMIPAP.NS,NSE:EMAMIPAP,NSE_EQ|INE830C01026,,,100.0,1
EMAMIREAL,EMAMI REALTY LIMITED,NSE,EMAMIREAL.NS,NSE:EMAMIREAL,NSE_EQ|INE778K01012,,,100.0,1
EMBDL,EMBASSY DEVELOPMENTS LTD,NSE,EMBDL.NS,NSE:EMBDL,NSE_EQ|INE069I01010,,,100.0,1
EMCURE,EMCURE PHARMACEUTICALS L,NSE,EMCURE.NS,NSE:EMCURE,NSE_EQ|INE168P01015,,,100.0,1
EMIL,ELECTRONICS MART IND LTD,NSE,EMIL.NS,NSE:EMIL,NSE_EQ|INE02YR01019,,,100.0,1
EMKAY,EMKAY GLOBAL FIN SERV LTD,NSE,EMKAY.NS,NSE:EMKAY,NSE_EQ|INE296H01011,,,100.0,1
EMMBI,EMMBI INDUSTRIES LIMITED,NSE,EMMBI.NS,NSE:EMMBI,NSE_EQ|INE753K01015,,,100.0,1
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,NSE,EMMVEE.NS,NSE:EMMVEE,NSE_EQ|INE1C6T01020,,,100.0,1
EMPOWER,EMPOWER INDIA LTD.,NSE,EMPOWER.NS,NSE:EMPOWER,NSE_EQ|INE507F01023,,,100.0,1
EMSLIMITED,EMS LIMITED,NSE,EMSLIMITED.NS,NSE:EMSLIMITED,NSE_EQ|INE0OV601013,,,100.0,1
EMUDHRA,EMUDHRA LIMITED,NSE,EMUDHRA.NS,NSE:EMUDHRA,NSE_EQ|INE01QM01018,,,100.0,1
EMULTIMQ,EDELAMC - EMULTIMQ,NSE,EMULTIMQ.NS,NSE:EMULTIMQ,NSE_EQ|INF754K01TF1,,,100.0,1
ENDURANCE,ENDURANCE TECHNO. LTD.,NSE,ENDURANCE.NS,NSE:ENDURANCE,NSE_EQ|INE913H01037,,,100.0,1
ENERGY,MIRAEAMC - ENERGY,NSE,ENERGY.NS,NSE:ENERGY,NSE_EQ|INF769K01PR2,,,100.0,1
ENERGYDEV,ENERGY DEVE. CO.LTD,NSE,ENERGYDEV.NS,NSE:ENERGYDEV,NSE_EQ|INE306C01019,,,100.0,1
ENGINERSIN,ENGINEERS INDIA LTD,NSE,ENGINERSIN.NS,NSE:ENGINERSIN,NSE_EQ|INE510A01028,,,100.0,1
ENIFTY,EDELAMC - ENIFTY,NSE,ENIFTY.NS,NSE:ENIFTY,NSE_EQ|INF754K01VX0,,,100.0,1
ENIL,ENTERTAIN NET. IND. LTD.,NSE,ENIL.NS,NSE:ENIL,NSE_EQ|INE265F01028,,,100.0,1
ENRIN,SIEMENS ENERGY INDIA LTD,NSE,ENRIN.NS,NSE:ENRIN,NSE_EQ|INE1NPP01017,,,100.0,1
ENTERO,ENTERO HEALTHCARE SOLU L,NSE,ENTERO.NS,NSE:ENTERO,NSE_EQ|INE010601016,,,100.0,1
EPACK,EPACK DURABLE LIMITED,NSE,EPACK.NS,NSE:EPACK,NSE_EQ|INE0G5901015,,,100.0,1
EPACKPEB,EPACK PREFAB TECHN LTD,NSE,EPACKPEB.NS,NSE:EPACKPEB,NSE_EQ|INE0MLS01022,,,100.0,1
EPIGRAL,EPIGRAL LIMITED,NSE,EPIGRAL.NS,NSE:EPIGRAL,NSE_EQ|INE071N01016,,,100.0,1
EPL,EPL LIMITED,NSE,EPL.NS,NSE:EPL,NSE_EQ|INE255A01020,,,100.0,1
EQUAL200,MIRAEAMC - EQUAL200,NSE,EQUAL200.NS,NSE:EQUAL200,NSE_EQ|INF769K01OA1,,,100.0,1
EQUAL50,MIRAEAMC - EQUAL50,NSE,EQUAL50.NS,NSE:EQUAL50,NSE_EQ|INF769K01OO2,,,100.0,1
EQUAL50ADD,DSPAMC - DSPNEWETF,NSE,EQUAL50ADD.NS,NSE:EQUAL50ADD,NSE_EQ|INF740KA1QK2,,,100.0,1
EQUIPPP,EQUIPPP SOC IMP TECH LTD,NSE,EQUIPPP.NS,NSE:EQUIPPP,NSE_EQ|INE217G01035,,,100.0,1
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,NSE,EQUITASBNK.NS,NSE:EQUITASBNK,NSE_EQ|INE063P01018,,,100.0,1
ERIS,ERIS LIFESCIENCES LIMITED,NSE,ERIS.NS,NSE:ERIS,NSE_EQ|INE406M01024,,,100.0,1
ESABINDIA,ESAB INDIA LTD,NSE,ESABINDIA.NS,NSE:ESABINDIA,NSE_EQ|INE284A01012,,,100.0,1
ESAFSFB,ESAF SMALL FINANCE BANK L,NSE,ESAFSFB.NS,NSE:ESAFSFB,NSE_EQ|INE818W01011,,,100.0,1
ESCORTS,ESCORTS KUBOTA LIMITED,NSE,ESCORTS.NS,NSE:ESCORTS,NSE_EQ|INE042A01014,,,100.0,1
ESENSEX,EDELAMC - ESENSEX,NSE,ESENSEX.NS,NSE:ESENSEX,NSE_EQ|INF754K01VY8,,,100.0,1
ESG,MIRAEAMC - MAESGETF,NSE,ESG.NS,NSE:ESG,NSE_EQ|INF769K01GS9,,,100.0,1
ESILVER,EDELAMC - ESILVER,NSE,ESILVER.NS,NSE:ESILVER,NSE_EQ|INF754K01SF3,,,100.0,1
ESSARSHPNG,ESSAR SHIPPING LTD,NSE,ESSARSHPNG.NS,NSE:ESSARSHPNG,NSE_EQ|INE122M01019,,,100.0,1
ESSENTIA,INTEGRA ESSENTIA LIMITED,NSE,ESSENTIA.NS,NSE:ESSENTIA,NSE_EQ|INE418N01035,,,100.0,1
ESTER,ESTER INDUSTRIES LTD,NSE,ESTER.NS,NSE:ESTER,NSE_EQ|INE778B01029,,,100.0,1
ETERNAL,ETERNAL LIMITED,NSE,ETERNAL.NS,NSE:ETERNAL,NSE_EQ|INE758T01015,,,100.0,1
ETHOSLTD,ETHOS LIMITED,NSE,ETHOSLTD.NS,NSE:ETHOSLTD,NSE_EQ|INE04TZ01018,,,100.0,1
EUREKAFORB,EUREKA FORBES LIMITED,NSE,EUREKAFORB.NS,NSE:EUREKAFORB,NSE_EQ|INE0KCE01017,,,100.0,1
EUROBOND,EURO PANEL PRODUCTS LTD,NSE,EUROBOND.NS,NSE:EUROBOND,NSE_EQ|INE505V01016,,,100.0,1
EUROPRATIK,EURO PRATIK SALES LIMITED,NSE,EUROPRATIK.NS,NSE:EUROPRATIK,NSE_EQ|INE198501012,,,100.0,1
EUROTEXIND,EUROTEX INDUSTRIES LTD,NSE,EUROTEXIND.NS,NSE:EUROTEXIND,NSE_EQ|INE022C01012,,,100.0,1
EVEREADY,EVEREADY INDS. IND.  LTD.,NSE,EVEREADY.NS,NSE:EVEREADY,NSE_EQ|INE128A01029,,,100.0,1
EVERESTIND,EVEREST INDUSTRIES LTD,NSE,EVERESTIND.NS,NSE:EVERESTIND,NSE_EQ|INE295A01018,,,100.0,1
EVIETF,ICICIPRAMC - EVIETF,NSE,EVIETF.NS,NSE:EVIETF,NSE_EQ|INF109K1A153,,,100.0,1
EVINDIA,MIRAEAMC - EVINDIA,NSE,EVINDIA.NS,NSE:EVINDIA,NSE_EQ|INF769K01LQ3,,,100.0,1
EXCELINDUS,EXCEL INDUSTRIES LTD,NSE,EXCELINDUS.NS,NSE:EXCELINDUS,NSE_EQ|INE369A01029,,,100.0,1
EXCELSOFT,EXCELSOFT TECHNOLOGIES L,NSE,EXCELSOFT.NS,NSE:EXCELSOFT,NSE_EQ|INE606N01019,,,100.0,1
EXICOM,EXICOM TELE SYSTEMS LTD,NSE,EXICOM.NS,NSE:EXICOM,NSE_EQ|INE777F01014,,,100.0,1
EXIDEIND,EXIDE INDUSTRIES LTD,NSE,EXIDEIND.NS,NSE:EXIDEIND,NSE_EQ|INE302A01020,,,100.0,1
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,NSE,EXPLEOSOL.NS,NSE:EXPLEOSOL,NSE_EQ|INE201K01015,,,100.0,1
EXXARO,EXXARO TILES LIMITED,NSE,EXXARO.NS,NSE:EXXARO,NSE_EQ|INE0GFE01026,,,100.0,1
FABTECH,FABTECH TECHNOLOGIES LTD,NSE,FABTECH.NS,NSE:FABTECH,NSE_EQ|INE0HF201011,,,100.0,1
FACT,FACT LTD,NSE,FACT.NS,NSE:FACT,NSE_EQ|INE188A01015,,,100.0,1
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED,NSE,FAIRCHEMOR.NS,NSE:FAIRCHEMOR,NSE_EQ|INE0DNW01011,,,100.0,1
FAZE3Q,FAZE THREE LIMITED,NSE,FAZE3Q.NS,NSE:FAZE3Q,NSE_EQ|INE963C01033,,,100.0,1
FCL,FINEOTEX CHEMICAL LIMITED,NSE,FCL.NS,NSE:FCL,NSE_EQ|INE045J01034,,,100.0,1
FCSSOFT,FCS SOFTWARE SOLN. LTD.,NSE,FCSSOFT.NS,NSE:FCSSOFT,NSE_EQ|INE512B01022,,,100.0,1
FDC,FDC LIMITED,NSE,FDC.NS,NSE:FDC,NSE_EQ|INE258B01022,,,100.0,1
FEDDERSHOL,FEDDERS HOLDING LTD.,NSE,FEDDERSHOL.NS,NSE:FEDDERSHOL,NSE_EQ|INE417D01020,,,100.0,1
FEDERALBNK,FEDERAL BANK LTD,NSE,FEDERALBNK.NS,NSE:FEDERALBNK,NSE_EQ|INE171A01029,,,100.0,1
FEDFINA,FEDBANK FINANCIAL SER L,NSE,FEDFINA.NS,NSE:FEDFINA,NSE_EQ|INE007N01010,,,100.0,1
FERMENTA,FERMENTA BIOTECH LTD.,NSE,FERMENTA.NS,NSE:FERMENTA,NSE_EQ|INE225B01021,,,100.0,1
FIBERWEB,FIBERWEB INDIA LIMITED,NSE,FIBERWEB.NS,NSE:FIBERWEB,NSE_EQ|INE296C01020,,,100.0,1
FIEMIND,FIEM INDUSTRIES LIMITED,NSE,FIEMIND.NS,NSE:FIEMIND,NSE_EQ|INE737H01014,,,100.0,1
FILATEX,FILATEX INDIA LTD,NSE,FILATEX.NS,NSE:FILATEX,NSE_EQ|INE816B01035,,,100.0,1
FILATFASH,FILATEX FASHIONS LIMITED,NSE,FILATFASH.NS,NSE:FILATFASH,NSE_EQ|INE185E01021,,,100.0,1
FINCABLES,FINOLEX CABLES LTD,NSE,FINCABLES.NS,NSE:FINCABLES,NSE_EQ|INE235A01022,,,100.0,1
FINEORG,FINE ORGANIC IND. LTD.,NSE,FINEORG.NS,NSE:FINEORG,NSE_EQ|INE686Y01026,,,100.0,1
FINIETF,ICICIPRAMC-ICICIFIN,NSE,FINIETF.NS,NSE:FINIETF,NSE_EQ|INF109KC17L8,,,100.0,1
FINKURVE,FINKURVE FINANCIAL SERV L,NSE,FINKURVE.NS,NSE:FINKURVE,NSE_EQ|INE734I01027,,,100.0,1
FINOPB,FINO PAYMENTS BANK LTD,NSE,FINOPB.NS,NSE:FINOPB,NSE_EQ|INE02NC01014,,,100.0,1
FINPIPE,FINOLEX INDUSTRIES LTD,NSE,FINPIPE.NS,NSE:FINPIPE,NSE_EQ|INE183A01024,,,100.0,1
FIRSTCRY,BRAINBEES SOLUTIONS LTD,NSE,FIRSTCRY.NS,NSE:FIRSTCRY,NSE_EQ|INE02RE01045,,,100.0,1
FISCHER,FISCHER MEDICAL VENTURE L,NSE,FISCHER.NS,NSE:FISCHER,NSE_EQ|INE771F01041,,,100.0,1
FIVESTAR,FIVE-STAR BUS FIN LTD,NSE,FIVESTAR.NS,NSE:FIVESTAR,NSE_EQ|INE128S01021,,,100.0,1
FLAIR,FLAIR WRITING INDUST LTD,NSE,FLAIR.NS,NSE:FLAIR,NSE_EQ|INE00Y201027,,,100.0,1
FLEXIADD,DSPAMC - FLEXIADD,NSE,FLEXIADD.NS,NSE:FLEXIADD,NSE_EQ|INF740KA1WU9,,,100.0,1
FLEXITUFF,FLEXITUFF VENTURES INT L,NSE,FLEXITUFF.NS,NSE:FLEXITUFF,NSE_EQ|INE060J01017,,,100.0,1
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,NSE,FLUOROCHEM.NS,NSE:FLUOROCHEM,NSE_EQ|INE09N301011,,,100.0,1
FMCGIETF,ICICIPRAMC - ICICIFMCG,NSE,FMCGIETF.NS,NSE:FMCGIETF,NSE_EQ|INF109KC19V3,,,100.0,1
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,NSE,FMGOETZE.NS,NSE:FMGOETZE,NSE_EQ|INE529A01010,,,100.0,1
FMNL,FUTURE MKT NETWORKS LTD,NSE,FMNL.NS,NSE:FMNL,NSE_EQ|INE360L01017,,,100.0,1
FOCUS,FOCUS LIGHTG & FIXTRS LTD,NSE,FOCUS.NS,NSE:FOCUS,NSE_EQ|INE593W01028,,,100.0,1
FOODSIN,FOODS & INNS LIMITED,NSE,FOODSIN.NS,NSE:FOODSIN,NSE_EQ|INE976E01023,,,100.0,1
FORCEMOT,FORCE MOTORS LIMITED,NSE,FORCEMOT.NS,NSE:FORCEMOT,NSE_EQ|INE451A01017,,,100.0,1
FORTIS,FORTIS HEALTHCARE LTD,NSE,FORTIS.NS,NSE:FORTIS,NSE_EQ|INE061F01013,,,100.0,1
FOSECOIND,FOSECO INDIA LTD,NSE,FOSECOIND.NS,NSE:FOSECOIND,NSE_EQ|INE519A01011,,,100.0,1
FRACTAL,FRACTAL ANALYTICS LIMITED,NSE,FRACTAL.NS,NSE:FRACTAL,NSE_EQ|INE212S01015,,,100.0,1
FRONTSP,FRONTIER SPRINGS LTD.,NSE,FRONTSP.NS,NSE:FRONTSP,NSE_EQ|INE572D01014,,,100.0,1
FSL,FIRSTSOURCE SOLU. LTD.,NSE,FSL.NS,NSE:FSL,NSE_EQ|INE684F01012,,,100.0,1
FUSION,FUSION FINANCE LIMITED,NSE,FUSION.NS,NSE:FUSION,NSE_EQ|INE139R01012,,,100.0,1
GABRIEL,GABRIEL INDIA LTD,NSE,GABRIEL.NS,NSE:GABRIEL,NSE_EQ|INE524A01029,,,100.0,1
GAEL,GUJARAT AMBUJA EXPORTS LT,NSE,GAEL.NS,NSE:GAEL,NSE_EQ|INE036B01030,,,100.0,1
GAIL,GAIL (INDIA) LTD,NSE,GAIL.NS,NSE:GAIL,NSE_EQ|INE129A01019,,,100.0,1
GALAPREC,GALA PRECISION ENG LTD,NSE,GALAPREC.NS,NSE:GALAPREC,NSE_EQ|INE0RE001014,,,100.0,1
GALAXYSURF,GALAXY SURFACTANTS LTD,NSE,GALAXYSURF.NS,NSE:GALAXYSURF,NSE_EQ|INE600K01018,,,100.0,1
GALLANTT,GALLANTT ISPAT LIMITED,NSE,GALLANTT.NS,NSE:GALLANTT,NSE_EQ|INE297H01019,,,100.0,1
GANDHAR,GANDHAR OIL REFINE IND L,NSE,GANDHAR.NS,NSE:GANDHAR,NSE_EQ|INE717W01049,,,100.0,1
GANDHITUBE,GANDHI SPL. TUBES LTD,NSE,GANDHITUBE.NS,NSE:GANDHITUBE,NSE_EQ|INE524B01027,,,100.0,1
GANECOS,GANESHA ECOSPHERE LIMITED,NSE,GANECOS.NS,NSE:GANECOS,NSE_EQ|INE845D01014,,,100.0,1
GANESHBE,GANESH BENZOPLAST LIMITED,NSE,GANESHBE.NS,NSE:GANESHBE,NSE_EQ|INE388A01029,,,100.0,1
GANESHCP,GANESH CONSUMER PRODUCT L,NSE,GANESHCP.NS,NSE:GANESHCP,NSE_EQ|INE652V01016,,,100.0,1
GANESHHOU,GANESH HOUSING LIMITED,NSE,GANESHHOU.NS,NSE:GANESHHOU,NSE_EQ|INE460C01014,,,100.0,1
GANGAFORGE,GANGA FORGING LIMITED,NSE,GANGAFORGE.NS,NSE:GANGAFORGE,NSE_EQ|INE691Z01023,,,100.0,1
GANGESSECU,GANGES SECURITIES LIMITED,NSE,GANGESSECU.NS,NSE:GANGESSECU,NSE_EQ|INE335W01016,,,100.0,1
GARFIBRES,GARWARE TECH FIBRES LTD,NSE,GARFIBRES.NS,NSE:GARFIBRES,NSE_EQ|INE276A01018,,,100.0,1
GARUDA,GARUDA CONSTRUCT N ENG L,NSE,GARUDA.NS,NSE:GARUDA,NSE_EQ|INE0JVO01026,,,100.0,1
GATECH,GACM TECHNOLOGIES LIMITED,NSE,GATECH.NS,NSE:GATECH,NSE_EQ|INE224E01028,,,100.0,1
GATECHDVR,GACM TECHNOLOGIES LIMITED,NSE,GATECHDVR.NS,NSE:GATECHDVR,NSE_EQ|INE224E01036,,,100.0,1
GATEWAY,GATEWAY DISTRIPARKS LTD,NSE,GATEWAY.NS,NSE:GATEWAY,NSE_EQ|INE079J01017,,,100.0,1
GAUDIUMIVF,GAUDIUM IVF N WOMEN H L,NSE,GAUDIUMIVF.NS,NSE:GAUDIUMIVF,NSE_EQ|INE0P8B01020,,,100.0,1
GAYAHWS,GAYATRI HIGHWAYS LIMITED,NSE,GAYAHWS.NS,NSE:GAYAHWS,NSE_EQ|INE287Z01012,,,100.0,1
GAYAPROJ,GAYATRI PROJECTS LTD,NSE,GAYAPROJ.NS,NSE:GAYAPROJ,NSE_EQ|INE336H01023,,,100.0,1
GCSL,GRETEX CORPORATE SERVICES,NSE,GCSL.NS,NSE:GCSL,NSE_EQ|INE199P01028,,,100.0,1
GEECEE,GEECEE VENTURES LIMITED,NSE,GEECEE.NS,NSE:GEECEE,NSE_EQ|INE916G01016,,,100.0,1
GEEKAYWIRE,GEEKAY WIRES LIMITED,NSE,GEEKAYWIRE.NS,NSE:GEEKAYWIRE,NSE_EQ|INE669X01032,,,100.0,1
GEMAROMA,GEM AROMATICS LIMITED,NSE,GEMAROMA.NS,NSE:GEMAROMA,NSE_EQ|INE06XZ01023,,,100.0,1
GENCON,GENERIC ENG CONS PROJ LTD,NSE,GENCON.NS,NSE:GENCON,NSE_EQ|INE854S01022,,,100.0,1
GENESYS,GENESYS INTL CORPN LTD,NSE,GENESYS.NS,NSE:GENESYS,NSE_EQ|INE727B01026,,,100.0,1
GENUSPAPER,GENUS P&B LIMITED,NSE,GENUSPAPER.NS,NSE:GENUSPAPER,NSE_EQ|INE949P01018,,,100.0,1
GENUSPOWER,GENUS POWER INFRASTRU LTD,NSE,GENUSPOWER.NS,NSE:GENUSPOWER,NSE_EQ|INE955D01029,,,100.0,1
GEOJITFSL,GEOJIT FINANCIAL SER L,NSE,GEOJITFSL.NS,NSE:GEOJITFSL,NSE_EQ|INE007B01023,,,100.0,1
GESHIP,THE GE SHPG.LTD,NSE,GESHIP.NS,NSE:GESHIP,NSE_EQ|INE017A01032,,,100.0,1
GFLLIMITED,GFL LIMITED,NSE,GFLLIMITED.NS,NSE:GFLLIMITED,NSE_EQ|INE538A01037,,,100.0,1
GHCL,GHCL LIMITED,NSE,GHCL.NS,NSE:GHCL,NSE_EQ|INE539A01019,,,100.0,1
GHCLTEXTIL,GHCL TEXTILES LIMITED,NSE,GHCLTEXTIL.NS,NSE:GHCLTEXTIL,NSE_EQ|INE0PA801013,,,100.0,1
GICHSGFIN,GIC HOUSING FINANCE LTD,NSE,GICHSGFIN.NS,NSE:GICHSGFIN,NSE_EQ|INE289B01019,,,100.0,1
GICL,GLOBE INTL CARRIERS LTD,NSE,GICL.NS,NSE:GICL,NSE_EQ|INE947T01022,,,100.0,1
GICRE,GENERAL INS CORP OF INDIA,NSE,GICRE.NS,NSE:GICRE,NSE_EQ|INE481Y01014,,,100.0,1
GILLANDERS,GILLANDERS ARBUTHNOT LTD,NSE,GILLANDERS.NS,NSE:GILLANDERS,NSE_EQ|INE047B01011,,,100.0,1
GILLETTE,GILLETTE INDIA LTD,NSE,GILLETTE.NS,NSE:GILLETTE,NSE_EQ|INE322A01010,,,100.0,1
GILT10BETA,UTIAMC-GILT10BETA,NSE,GILT10BETA.NS,NSE:GILT10BETA,NSE_EQ|INF789F1AZF3,,,100.0,1
GILT5BETA,UTIAMC-GILT5BETA,NSE,GILT5BETA.NS,NSE:GILT5BETA,NSE_EQ|INF789F1AZE6,,,100.0,1
GILT5YBEES,RELCAPAMC - NETFGILT5Y,NSE,GILT5YBEES.NS,NSE:GILT5YBEES,NSE_EQ|INF204KC1030,,,100.0,1
GINNIFILA,GINNI FILAMENTS LTD,NSE,GINNIFILA.NS,NSE:GINNIFILA,NSE_EQ|INE424C01010,,,100.0,1
GIPCL,GUJ IND POW CO. LTD,NSE,GIPCL.NS,NSE:GIPCL,NSE_EQ|INE162A01010,,,100.0,1
GKENERGY,GK ENERGY LIMITED,NSE,GKENERGY.NS,NSE:GKENERGY,NSE_EQ|INE1AG301022,,,100.0,1
GKSL,GUJARAT KIDNEY N SUP SP L,NSE,GKSL.NS,NSE:GKSL,NSE_EQ|INE0V0W01025,,,100.0,1
GKWLIMITED,GKW LIMITED,NSE,GKWLIMITED.NS,NSE:GKWLIMITED,NSE_EQ|INE528A01020,,,100.0,1
GLAND,GLAND PHARMA LIMITED,NSE,GLAND.NS,NSE:GLAND,NSE_EQ|INE068V01023,,,100.0,1
