symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,NSE,ABSLAMC.NS,NSE:ABSLAMC,NSE_EQ|INE404A01024,,,100.0,1
ABSLBANETF,BIRLASLAMC - ABSLBANETF,NSE,ABSLBANETF.NS,NSE:ABSLBANETF,NSE_EQ|INF209KB17D5,,,100.0,1
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,NSE,ABSLLIQUID.NS,NSE:ABSLLIQUID,NSE_EQ|INF209KB18T9,,,100.0,1
ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,NSE,ABSLMSCIN.NS,NSE:ABSLMSCIN,NSE_EQ|INF209KC1662,,,100.0,1
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,NSE,ABSLNN50ET.NS,NSE:ABSLNN50ET,NSE_EQ|INF209KB16D7,,,100.0,1
ABSLPSE,BIRLASLAMC-ABSLPSE,NSE,ABSLPSE.NS,NSE:ABSLPSE,NSE_EQ|INF209KB19Z4,,,100.0,1
ACC,ACC LIMITED,NSE,ACC.NS,NSE:ACC,NSE_EQ|INE012A01025,,,100.0,1
ACCELYA,ACCELYA SOLN INDIA LTD,NSE,ACCELYA.NS,NSE:ACCELYA,NSE_EQ|INE793A01012,,,100.0,1
ACCURACY,ACCURACY SHIPPING LIMITED,NSE,ACCURACY.NS,NSE:ACCURACY,NSE_EQ|INE648Z01023,,,100.0,1
ACE,ACTION CONST EQUIP LTD,NSE,ACE.NS,NSE:ACE,NSE_EQ|INE731H01025,,,100.0,1
ACEINTEG,ACE INTEGRATED SOLU. LTD.,NSE,ACEINTEG.NS,NSE:ACEINTEG,NSE_EQ|INE543V01017,,,100.0,1
ACI,ARCHEAN CHEMICAL IND LTD,NSE,ACI.NS,NSE:ACI,NSE_EQ|INE128X01021,,,100.0,1
ACL,ANDHRA CEMENTS LIMITED,NSE,ACL.NS,NSE:ACL,NSE_EQ|INE666E01020,,,100.0,1
ACMESOLAR,ACME SOLAR HOLDINGS LTD,NSE,ACMESOLAR.NS,NSE:ACMESOLAR,NSE_EQ|INE622W01025,,,100.0,1
ACSTECH,A C S TECHNOLOGIES LTD.,NSE,ACSTECH.NS,NSE:ACSTECH,NSE_EQ|INE366C01021,,,100.0,1
ACUTAAS,ACUTAAS CHEMICALS LIMITED,NSE,ACUTAAS.NS,NSE:ACUTAAS,NSE_EQ|INE00FF01025,,,100.0,1
ADANIENSOL,ADANI ENERGY SOLUTION LTD,NSE,ADANIENSOL.NS,NSE:ADANIENSOL,NSE_EQ|INE931S01010,,,100.0,1
ADANIENT,ADANI ENTERPRISES LIMITED,NSE,ADANIENT.NS,NSE:ADANIENT,NSE_EQ|INE423A01024,,,100.0,1
ADANIGREEN,ADANI GREEN ENERGY LTD,NSE,ADANIGREEN.NS,NSE:ADANIGREEN,NSE_EQ|INE364U01010,,,100.0,1
ADANIPORTS,ADANI PORT & SEZ LTD,NSE,ADANIPORTS.NS,NSE:ADANIPORTS,NSE_EQ|INE742F01042,,,100.0,1
ADANIPOWER,ADANI POWER LTD,NSE,ADANIPOWER.NS,NSE:ADANIPOWER,NSE_EQ|INE814H01029,,,100.0,1
ADFFOODS,ADF FOODS LIMITED,NSE,ADFFOODS.NS,NSE:ADFFOODS,NSE_EQ|INE982B01027,,,100.0,1
ADL,ARCHIDPLY DECOR LIMITED,NSE,ADL.NS,NSE:ADL,NSE_EQ|INE0CHO01012,,,100.0,1
ADOR,ADOR WELDING LTD,NSE,ADOR.NS,NSE:ADOR,NSE_EQ|INE045A01017,,,100.0,1
ADROITINFO,ADROIT INFOTECH LIMITED,NSE,ADROITINFO.NS,NSE:ADROITINFO,NSE_EQ|INE737B01033,,,100.0,1
ADSL,ALLIED DIGITAL SERV. LTD,NSE,ADSL.NS,NSE:ADSL,NSE_EQ|INE102I01027,,,100.0,1
ADVAIT,ADVAIT ENRGY TRANSITION L,NSE,ADVAIT.NS,NSE:ADVAIT,NSE_EQ|INE0ALI01010,,,100.0,1
ADVANCE,ADVANCE AGROLIFE LIMITED,NSE,ADVANCE.NS,NSE:ADVANCE,NSE_EQ|INE1B0W01010,,,100.0,1
